Country,League,Season,Date,Time,Home,Away,HG,AG,Res
Denmark,Superliga,2023/2024,18/02/2024,15:00,Silkeborg,FC Copenhagen,0,3,A
Denmark,Superliga,2023/2024,18/02/2024,17:00,Brondby,Midtjylland,1,0,H
Denmark,Superliga,2023/2024,19/02/2024,18:00,Vejle,Aarhus,0,0,D
Denmark,Superliga,2023/2024,23/02/2024,18:00,Randers FC,Lyngby,1,0,H
Denmark,Superliga,2023/2024,25/02/2024,13:00,Hvidovre IF,Viborg,2,2,D
Denmark,Superliga,2023/2024,25/02/2024,13:00,Vejle,Silkeborg,2,0,H
Denmark,Superliga,2023/2024,25/02/2024,15:00,Odense,Brondby,0,3,A
Denmark,Superliga,2023/2024,25/02/2024,17:00,Aarhus,Midtjylland,2,3,A
Denmark,Superliga,2023/2024,26/02/2024,18:00,FC Copenhagen,Nordsjaelland,2,0,H
Denmark,Superliga,2023/2024,01/03/2024,18:00,Midtjylland,FC Copenhagen,2,0,H
Denmark,Superliga,2023/2024,03/03/2024,13:00,Lyngby,Hvidovre IF,2,4,A
Denmark,Superliga,2023/2024,03/03/2024,13:00,Viborg,Randers FC,3,0,H
Denmark,Superliga,2023/2024,03/03/2024,15:00,Brondby,Vejle,1,1,D
Denmark,Superliga,2023/2024,03/03/2024,17:00,Aarhus,Odense,1,1,D
Denmark,Superliga,2023/2024,04/03/2024,18:00,Nordsjaelland,Silkeborg,3,1,H
Denmark,Superliga,2023/2024,08/03/2024,18:00,Hvidovre IF,Nordsjaelland,1,2,A
Denmark,Superliga,2023/2024,10/03/2024,13:00,Silkeborg,Aarhus,0,1,A
Denmark,Superliga,2023/2024,10/03/2024,13:00,Vejle,Odense,0,1,A
Denmark,Superliga,2023/2024,10/03/2024,15:00,FC Copenhagen,Lyngby,4,0,H
Denmark,Superliga,2023/2024,10/03/2024,17:00,Viborg,Brondby,1,2,A
Denmark,Superliga,2023/2024,11/03/2024,18:00,Randers FC,Midtjylland,0,1,A
Denmark,Superliga,2023/2024,17/03/2024,16:00,Aarhus,Hvidovre IF,1,0,H
Denmark,Superliga,2023/2024,17/03/2024,16:00,Brondby,Silkeborg,4,1,H
Denmark,Superliga,2023/2024,17/03/2024,16:00,Lyngby,Viborg,2,0,H
Denmark,Superliga,2023/2024,17/03/2024,16:00,Midtjylland,Vejle,3,0,H
Denmark,Superliga,2023/2024,17/03/2024,16:00,Nordsjaelland,Randers FC,1,1,D
Denmark,Superliga,2023/2024,17/03/2024,16:00,Odense,FC Copenhagen,0,2,A
Denmark,Superliga,2023/2024,31/03/2024,13:00,Randers FC,Lyngby,6,2,H
Denmark,Superliga,2023/2024,31/03/2024,15:00,Viborg,Hvidovre IF,3,1,H
Denmark,Superliga,2023/2024,01/04/2024,13:00,FC Copenhagen,Brondby,1,2,A
Denmark,Superliga,2023/2024,01/04/2024,15:00,Midtjylland,Nordsjaelland,2,3,A
Denmark,Superliga,2023/2024,01/04/2024,17:00,Silkeborg,Aarhus,2,2,D
Denmark,Superliga,2023/2024,02/04/2024,18:00,Odense,Vejle,0,1,A
Denmark,Superliga,2023/2024,05/04/2024,18:00,Lyngby,Odense,0,0,D
Denmark,Superliga,2023/2024,07/04/2024,13:00,Hvidovre IF,Randers FC,1,3,A
Denmark,Superliga,2023/2024,07/04/2024,13:00,Vejle,Viborg,1,1,D
Denmark,Superliga,2023/2024,07/04/2024,15:00,Nordsjaelland,FC Copenhagen,2,1,H
Denmark,Superliga,2023/2024,07/04/2024,17:00,Aarhus,Midtjylland,0,1,A
Denmark,Superliga,2023/2024,08/04/2024,18:00,Brondby,Silkeborg,1,1,D
Denmark,Superliga,2023/2024,12/04/2024,18:00,Odense,Viborg,1,3,A
Denmark,Superliga,2023/2024,14/04/2024,13:00,Lyngby,Hvidovre IF,1,1,D
Denmark,Superliga,2023/2024,14/04/2024,13:00,Vejle,Randers FC,1,2,A
Denmark,Superliga,2023/2024,14/04/2024,15:00,Aarhus,Brondby,2,2,D
Denmark,Superliga,2023/2024,14/04/2024,17:00,Midtjylland,FC Copenhagen,2,2,D
Denmark,Superliga,2023/2024,15/04/2024,18:00,Silkeborg,Nordsjaelland,0,1,A
Denmark,Superliga,2023/2024,19/04/2024,18:00,Randers FC,Odense,2,2,D
Denmark,Superliga,2023/2024,21/04/2024,13:00,Hvidovre IF,Vejle,2,1,H
Denmark,Superliga,2023/2024,21/04/2024,13:00,Viborg,Lyngby,2,1,H
Denmark,Superliga,2023/2024,21/04/2024,15:00,FC Copenhagen,Silkeborg,2,0,H
Denmark,Superliga,2023/2024,21/04/2024,17:00,Brondby,Midtjylland,2,1,H
Denmark,Superliga,2023/2024,22/04/2024,18:00,Nordsjaelland,Aarhus,7,2,H
Denmark,Superliga,2023/2024,26/04/2024,18:00,Lyngby,Vejle,1,1,D
Denmark,Superliga,2023/2024,28/04/2024,13:00,Odense,Hvidovre IF,1,2,A
Denmark,Superliga,2023/2024,28/04/2024,13:00,Viborg,Randers FC,0,0,D
Denmark,Superliga,2023/2024,28/04/2024,15:00,Nordsjaelland,Brondby,1,1,D
Denmark,Superliga,2023/2024,28/04/2024,17:00,FC Copenhagen,Aarhus,3,2,H
Denmark,Superliga,2023/2024,29/04/2024,18:00,Silkeborg,Midtjylland,3,0,H
Denmark,Superliga,2023/2024,03/05/2024,18:00,Aarhus,Nordsjaelland,1,3,A
Denmark,Superliga,2023/2024,05/05/2024,13:00,Hvidovre IF,Viborg,0,1,A
Denmark,Superliga,2023/2024,05/05/2024,13:00,Lyngby,Randers FC,2,1,H
Denmark,Superliga,2023/2024,05/05/2024,15:00,Silkeborg,FC Copenhagen,0,3,A
Denmark,Superliga,2023/2024,05/05/2024,17:00,Midtjylland,Brondby,3,2,H
Denmark,Superliga,2023/2024,06/05/2024,18:00,Vejle,Odense,3,2,H
Denmark,Superliga,2023/2024,10/05/2024,18:00,Odense,Lyngby,1,2,A
Denmark,Superliga,2023/2024,12/05/2024,13:00,Randers FC,Hvidovre IF,2,2,D
Denmark,Superliga,2023/2024,12/05/2024,13:00,Viborg,Vejle,1,2,A
Denmark,Superliga,2023/2024,12/05/2024,15:00,Brondby,FC Copenhagen,1,3,A
Denmark,Superliga,2023/2024,12/05/2024,17:00,Midtjylland,Aarhus,2,1,H
Denmark,Superliga,2023/2024,12/05/2024,19:00,Nordsjaelland,Silkeborg,4,1,H
Denmark,Superliga,2023/2024,15/05/2024,17:00,Randers FC,Viborg,1,0,H
Denmark,Superliga,2023/2024,15/05/2024,17:00,Vejle,Lyngby,1,0,H
Denmark,Superliga,2023/2024,15/05/2024,19:00,Brondby,Nordsjaelland,1,0,H
Denmark,Superliga,2023/2024,16/05/2024,17:00,Aarhus,Silkeborg,0,1,A
Denmark,Superliga,2023/2024,16/05/2024,17:00,Hvidovre IF,Odense,1,2,A
Denmark,Superliga,2023/2024,16/05/2024,19:00,FC Copenhagen,Midtjylland,1,2,A
Denmark,Superliga,2023/2024,19/05/2024,13:00,Odense,Randers FC,2,0,H
Denmark,Superliga,2023/2024,20/05/2024,13:00,Lyngby,Viborg,3,1,H
