Country,League,Season,Date,Time,Home,Away,HG,AG,Res
Finland,Veikkausliiga,2024,06/04/2024,13:00,Gnistan,Inter Turku,2,1,H
Finland,Veikkausliiga,2024,06/04/2024,15:00,Haka,VPS,1,2,A
Finland,Veikkausliiga,2024,06/04/2024,15:00,Ilves,Lahti,0,0,D
Finland,Veikkausliiga,2024,06/04/2024,15:00,Mariehamn,Ekenas,3,2,H
Finland,Veikkausliiga,2024,06/04/2024,15:00,SJK,AC Oulu,2,1,H
Finland,Veikkausliiga,2024,06/04/2024,17:00,KuPS,HJK,3,1,H
Finland,Veikkausliiga,2024,11/04/2024,16:00,HJK,Lahti,4,0,H
Finland,Veikkausliiga,2024,12/04/2024,16:00,Haka,Ekenas,2,1,H
Finland,Veikkausliiga,2024,12/04/2024,17:00,VPS,SJK,1,1,D
Finland,Veikkausliiga,2024,12/04/2024,18:00,Inter Turku,AC Oulu,3,3,D
Finland,Veikkausliiga,2024,13/04/2024,12:00,Ilves,Gnistan,4,6,A
Finland,Veikkausliiga,2024,13/04/2024,15:00,Mariehamn,KuPS,2,2,D
Finland,Veikkausliiga,2024,19/04/2024,16:00,Inter Turku,KuPS,1,1,D
Finland,Veikkausliiga,2024,19/04/2024,16:00,SJK,Ilves,1,0,H
Finland,Veikkausliiga,2024,20/04/2024,13:00,HJK,Mariehamn,2,1,H
Finland,Veikkausliiga,2024,20/04/2024,14:15,Lahti,Haka,1,1,D
Finland,Veikkausliiga,2024,20/04/2024,16:30,VPS,Gnistan,3,2,H
Finland,Veikkausliiga,2024,21/04/2024,16:30,Ekenas,AC Oulu,1,1,D
Finland,Veikkausliiga,2024,24/04/2024,17:00,SJK,HJK,3,3,D
Finland,Veikkausliiga,2024,26/04/2024,16:00,Inter Turku,Ekenas,2,1,H
Finland,Veikkausliiga,2024,27/04/2024,13:00,Haka,HJK,1,1,D
Finland,Veikkausliiga,2024,27/04/2024,15:00,Lahti,KuPS,0,1,A
Finland,Veikkausliiga,2024,27/04/2024,16:30,AC Oulu,VPS,1,2,A
Finland,Veikkausliiga,2024,28/04/2024,14:00,Gnistan,SJK,0,1,A
Finland,Veikkausliiga,2024,28/04/2024,16:30,Mariehamn,Ilves,0,1,A
Finland,Veikkausliiga,2024,03/05/2024,16:00,VPS,Lahti,3,0,H
Finland,Veikkausliiga,2024,04/05/2024,13:00,Ilves,AC Oulu,3,2,H
Finland,Veikkausliiga,2024,04/05/2024,15:00,HJK,Ekenas,0,0,D
Finland,Veikkausliiga,2024,04/05/2024,17:00,SJK,KuPS,1,1,D
Finland,Veikkausliiga,2024,05/05/2024,14:00,Gnistan,Haka,0,3,A
Finland,Veikkausliiga,2024,05/05/2024,16:30,Mariehamn,Inter Turku,3,1,H
