Country,League,Season,Date,Time,Home,Away,HG,AG,Res
Ireland,Premier Division,2024,16/02/2024,19:45,Bohemians,Sligo Rovers,2,2,D
Ireland,Premier Division,2024,16/02/2024,19:45,Derry City,Drogheda,2,1,H
Ireland,Premier Division,2024,16/02/2024,19:45,Galway,St. Patricks,0,1,A
Ireland,Premier Division,2024,16/02/2024,19:45,Shamrock Rovers,Dundalk,1,1,D
Ireland,Premier Division,2024,16/02/2024,19:45,Waterford,Shelbourne,1,1,D
Ireland,Premier Division,2024,23/02/2024,19:45,Drogheda,Waterford,1,4,A
Ireland,Premier Division,2024,23/02/2024,19:45,Dundalk,Galway,0,2,A
Ireland,Premier Division,2024,23/02/2024,19:45,Shelbourne,Shamrock Rovers,2,1,H
Ireland,Premier Division,2024,23/02/2024,19:45,St. Patricks,Bohemians,0,1,A
Ireland,Premier Division,2024,24/02/2024,19:45,Sligo Rovers,Derry City,0,0,D
Ireland,Premier Division,2024,01/03/2024,19:45,Derry City,St. Patricks,2,1,H
Ireland,Premier Division,2024,01/03/2024,19:45,Galway,Waterford,2,1,H
Ireland,Premier Division,2024,01/03/2024,19:45,Sligo Rovers,Shelbourne,0,1,A
Ireland,Premier Division,2024,04/03/2024,19:45,Drogheda,Bohemians,2,1,H
Ireland,Premier Division,2024,04/03/2024,19:45,Dundalk,Sligo Rovers,0,5,A
Ireland,Premier Division,2024,04/03/2024,19:45,Shamrock Rovers,Derry City,2,2,D
Ireland,Premier Division,2024,04/03/2024,19:45,Shelbourne,Galway,1,0,H
Ireland,Premier Division,2024,04/03/2024,19:45,Waterford,St. Patricks,3,1,H
Ireland,Premier Division,2024,08/03/2024,19:45,Bohemians,Shelbourne,0,2,A
Ireland,Premier Division,2024,08/03/2024,19:45,Derry City,Waterford,3,0,H
Ireland,Premier Division,2024,08/03/2024,19:45,Galway,Drogheda,0,0,D
Ireland,Premier Division,2024,08/03/2024,19:45,St. Patricks,Dundalk,1,0,H
Ireland,Premier Division,2024,09/03/2024,19:45,Sligo Rovers,Shamrock Rovers,0,0,D
Ireland,Premier Division,2024,15/03/2024,19:45,Bohemians,Derry City,2,1,H
Ireland,Premier Division,2024,15/03/2024,19:45,Dundalk,Waterford,0,0,D
Ireland,Premier Division,2024,15/03/2024,19:45,Galway,Shamrock Rovers,0,1,A
Ireland,Premier Division,2024,15/03/2024,19:45,St. Patricks,Shelbourne,1,2,A
Ireland,Premier Division,2024,16/03/2024,19:45,Sligo Rovers,Drogheda,3,1,H
Ireland,Premier Division,2024,29/03/2024,19:45,Derry City,Galway,0,1,A
Ireland,Premier Division,2024,29/03/2024,19:45,Drogheda,St. Patricks,0,0,D
Ireland,Premier Division,2024,29/03/2024,19:45,Shamrock Rovers,Bohemians,3,1,H
Ireland,Premier Division,2024,29/03/2024,19:45,Shelbourne,Dundalk,2,1,H
Ireland,Premier Division,2024,29/03/2024,19:45,Waterford,Sligo Rovers,0,1,A
Ireland,Premier Division,2024,01/04/2024,13:00,Dundalk,Drogheda,0,0,D
Ireland,Premier Division,2024,01/04/2024,17:00,Shelbourne,Derry City,0,0,D
