Country,League,Season,Date,Time,Home,Away,HG,AG,Res
Poland,Ekstraklasa,2023/2024,05/04/2024,17:00,Cracovia,LKS Lodz,2,2,D
Poland,Ekstraklasa,2023/2024,05/04/2024,19:30,Radomiak Radom,Rakow,2,1,H
Poland,Ekstraklasa,2023/2024,06/04/2024,14:00,Korona Kielce,Stal Mielec,1,0,H
Poland,Ekstraklasa,2023/2024,06/04/2024,16:30,Ruch Chorzow,Puszcza,0,0,D
Poland,Ekstraklasa,2023/2024,06/04/2024,19:00,Slask Wroclaw,Warta Poznan,2,1,H
Poland,Ekstraklasa,2023/2024,07/04/2024,11:30,Widzew Lodz,Piast Gliwice,1,0,H
Poland,Ekstraklasa,2023/2024,07/04/2024,14:00,Lech Poznan,Pogon Szczecin,1,0,H
Poland,Ekstraklasa,2023/2024,07/04/2024,16:30,Legia,Jagiellonia,1,1,D
Poland,Ekstraklasa,2023/2024,08/04/2024,18:00,Zaglebie,Gornik Zabrze,1,2,A
Poland,Ekstraklasa,2023/2024,12/04/2024,17:00,Warta Poznan,Korona Kielce,1,0,H
Poland,Ekstraklasa,2023/2024,12/04/2024,19:30,Pogon Szczecin,Ruch Chorzow,5,0,H
Poland,Ekstraklasa,2023/2024,13/04/2024,14:00,Stal Mielec,Widzew Lodz,0,0,D
Poland,Ekstraklasa,2023/2024,13/04/2024,16:30,Puszcza,Lech Poznan,2,1,H
Poland,Ekstraklasa,2023/2024,13/04/2024,19:00,Rakow,Legia,1,1,D
Poland,Ekstraklasa,2023/2024,14/04/2024,11:30,LKS Lodz,Radomiak Radom,3,2,H
Poland,Ekstraklasa,2023/2024,14/04/2024,14:00,Jagiellonia,Cracovia,1,3,A
Poland,Ekstraklasa,2023/2024,14/04/2024,16:30,Gornik Zabrze,Slask Wroclaw,2,0,H
Poland,Ekstraklasa,2023/2024,15/04/2024,18:00,Piast Gliwice,Zaglebie,2,0,H
Poland,Ekstraklasa,2023/2024,19/04/2024,17:00,Korona Kielce,Radomiak Radom,4,0,H
Poland,Ekstraklasa,2023/2024,19/04/2024,19:30,Rakow,Gornik Zabrze,0,1,A
Poland,Ekstraklasa,2023/2024,20/04/2024,14:00,Pogon Szczecin,Piast Gliwice,0,2,A
Poland,Ekstraklasa,2023/2024,20/04/2024,16:30,Ruch Chorzow,Widzew Lodz,2,3,A
Poland,Ekstraklasa,2023/2024,20/04/2024,19:00,Zaglebie,Jagiellonia,1,2,A
Poland,Ekstraklasa,2023/2024,21/04/2024,11:30,Cracovia,Puszcza,0,1,A
Poland,Ekstraklasa,2023/2024,21/04/2024,14:00,LKS Lodz,Lech Poznan,2,3,A
Poland,Ekstraklasa,2023/2024,21/04/2024,16:30,Legia,Slask Wroclaw,0,0,D
Poland,Ekstraklasa,2023/2024,22/04/2024,18:00,Warta Poznan,Stal Mielec,5,2,H
Poland,Ekstraklasa,2023/2024,26/04/2024,17:00,Piast Gliwice,Warta Poznan,2,0,H
Poland,Ekstraklasa,2023/2024,26/04/2024,19:30,Jagiellonia,Pogon Szczecin,2,2,D
Poland,Ekstraklasa,2023/2024,27/04/2024,14:00,Gornik Zabrze,LKS Lodz,4,1,H
Poland,Ekstraklasa,2023/2024,27/04/2024,16:30,Slask Wroclaw,Ruch Chorzow,2,3,A
Poland,Ekstraklasa,2023/2024,27/04/2024,19:00,Widzew Lodz,Rakow,0,1,A
