Country,League,Season,Date,Time,Home,Away,HG,AG,Res
Sweden,Allsvenskan,2024,30/03/2024,14:00,Norrkoping,Malmo FF,1,5,A
Sweden,Allsvenskan,2024,31/03/2024,13:00,GAIS,Brommapojkarna,0,4,A
Sweden,Allsvenskan,2024,31/03/2024,13:00,Hammarby,Kalmar,3,1,H
Sweden,Allsvenskan,2024,31/03/2024,15:30,Hacken,Mjallby,0,1,A
Sweden,Allsvenskan,2024,01/04/2024,13:00,Goteborg,Djurgarden,1,4,A
Sweden,Allsvenskan,2024,01/04/2024,13:00,Sirius,Halmstad,3,0,H
Sweden,Allsvenskan,2024,01/04/2024,15:30,AIK,Vasteras SK,1,0,H
Sweden,Allsvenskan,2024,01/04/2024,15:30,Elfsborg,Varnamo,2,2,D
Sweden,Allsvenskan,2024,06/04/2024,14:00,Brommapojkarna,AIK,2,2,D
Sweden,Allsvenskan,2024,06/04/2024,16:30,Mjallby,Norrkoping,3,0,H
Sweden,Allsvenskan,2024,07/04/2024,13:00,Halmstad,Goteborg,1,0,H
Sweden,Allsvenskan,2024,07/04/2024,13:00,Malmo FF,Hammarby,2,0,H
Sweden,Allsvenskan,2024,07/04/2024,15:30,Vasteras SK,Elfsborg,0,1,A
Sweden,Allsvenskan,2024,08/04/2024,18:00,Kalmar,Sirius,1,2,A
Sweden,Allsvenskan,2024,08/04/2024,18:00,Varnamo,GAIS,1,2,A
Sweden,Allsvenskan,2024,08/04/2024,18:10,Djurgarden,Hacken,3,3,D
Sweden,Allsvenskan,2024,13/04/2024,14:00,Mjallby,AIK,1,1,D
Sweden,Allsvenskan,2024,13/04/2024,16:30,Vasteras SK,Halmstad,0,1,A
Sweden,Allsvenskan,2024,14/04/2024,13:00,Kalmar,Goteborg,0,1,A
Sweden,Allsvenskan,2024,14/04/2024,13:00,Norrkoping,GAIS,1,0,H
Sweden,Allsvenskan,2024,14/04/2024,15:30,Djurgarden,Sirius,2,0,H
Sweden,Allsvenskan,2024,15/04/2024,18:00,Hacken,Brommapojkarna,4,3,H
Sweden,Allsvenskan,2024,15/04/2024,18:00,Varnamo,Malmo FF,0,4,A
Sweden,Allsvenskan,2024,15/04/2024,18:10,Hammarby,Elfsborg,3,0,H
Sweden,Allsvenskan,2024,20/04/2024,14:00,Goteborg,Norrkoping,1,1,D
Sweden,Allsvenskan,2024,20/04/2024,14:00,Sirius,Varnamo,0,1,A
Sweden,Allsvenskan,2024,20/04/2024,16:30,Malmo FF,Vasteras SK,1,0,H
Sweden,Allsvenskan,2024,21/04/2024,13:00,AIK,Djurgarden,2,0,H
Sweden,Allsvenskan,2024,21/04/2024,13:00,GAIS,Mjallby,2,1,H
Sweden,Allsvenskan,2024,21/04/2024,15:30,Hacken,Hammarby,2,1,H
Sweden,Allsvenskan,2024,21/04/2024,15:30,Halmstad,Brommapojkarna,0,2,A
Sweden,Allsvenskan,2024,22/04/2024,18:00,Elfsborg,Kalmar,1,2,A
Sweden,Allsvenskan,2024,24/04/2024,18:00,AIK,Varnamo,2,0,H
Sweden,Allsvenskan,2024,24/04/2024,18:00,Brommapojkarna,Sirius,1,1,D
Sweden,Allsvenskan,2024,24/04/2024,18:00,Goteborg,Hacken,0,1,A
Sweden,Allsvenskan,2024,25/04/2024,18:00,Djurgarden,Malmo FF,0,1,A
Sweden,Allsvenskan,2024,25/04/2024,18:00,Halmstad,Hammarby,2,1,H
Sweden,Allsvenskan,2024,25/04/2024,18:00,Kalmar,GAIS,2,3,A
Sweden,Allsvenskan,2024,25/04/2024,18:00,Norrkoping,Elfsborg,4,2,H
Sweden,Allsvenskan,2024,25/04/2024,18:00,Vasteras SK,Mjallby,2,1,H
Sweden,Allsvenskan,2024,28/04/2024,13:00,Malmo FF,AIK,5,0,H
Sweden,Allsvenskan,2024,28/04/2024,13:00,Varnamo,Halmstad,1,3,A
Sweden,Allsvenskan,2024,28/04/2024,15:30,Djurgarden,GAIS,1,0,H
Sweden,Allsvenskan,2024,28/04/2024,15:30,Hacken,Norrkoping,1,2,A
Sweden,Allsvenskan,2024,29/04/2024,18:00,Brommapojkarna,Goteborg,0,3,A
Sweden,Allsvenskan,2024,29/04/2024,18:00,Elfsborg,Sirius,2,0,H
Sweden,Allsvenskan,2024,29/04/2024,18:00,Mjallby,Kalmar,3,2,H
Sweden,Allsvenskan,2024,29/04/2024,18:10,Hammarby,Vasteras SK,2,1,H
Sweden,Allsvenskan,2024,04/05/2024,14:00,Kalmar,Halmstad,5,2,H
Sweden,Allsvenskan,2024,04/05/2024,14:00,Mjallby,Brommapojkarna,1,1,D
Sweden,Allsvenskan,2024,04/05/2024,16:30,Sirius,Hacken,0,3,A
Sweden,Allsvenskan,2024,05/05/2024,13:00,Elfsborg,Malmo FF,3,1,H
Sweden,Allsvenskan,2024,05/05/2024,13:00,Vasteras SK,Djurgarden,0,2,A
Sweden,Allsvenskan,2024,05/05/2024,15:30,AIK,Norrkoping,6,2,H
